사이트순위,도메인,대표사이트명,확인한_매물페이지URL,매물수_추정,매물수_산정근거,응답방식,매물페이지여부,연결_업체/행수,연결_업체명,원본No목록,크롤링_필요정보/전략,자동확인일
27,cookiedeal.io,경남건설기계매매상사,https://cookiedeal.io/company-search/6220252559/%EA%B2%BD%EB%82%A8%EA%B1%B4%EC%84%A4%EA%B8%B0%EA%B3%84%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,경남건설기계매매상사,67,브라우저/쿠키 필요,2026-04-29
28,cookiedeal.io,대성건설기계매매상사,https://cookiedeal.io/company-search/6110431034/%EB%8C%80%EC%84%B1%EA%B1%B4%EC%84%A4%EA%B8%B0%EA%B3%84%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,대성건설기계매매상사,66,브라우저/쿠키 필요,2026-04-29
29,cookiedeal.io,동명중장비매매상사,https://cookiedeal.io/company-search/4093187061/%EB%8F%99%EB%AA%85%EC%A4%91%EC%9E%A5%EB%B9%84%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,동명중장비매매상사,64,브라우저/쿠키 필요,2026-04-29
30,cookiedeal.io,미래종합중기,https://cookiedeal.io/company-search/1278142401/%EB%AF%B8%EB%9E%98%EC%A2%85%ED%95%A9%EC%A4%91%EA%B8%B0,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,미래종합중기,68,브라우저/쿠키 필요,2026-04-29
31,minwoo2000.com,민우건설기계매매상사,http://www.minwoo2000.com/,0,매물 패턴 미검출,확인불가(요청 실패),N,1,민우건설기계매매상사,6,requests+BeautifulSoup 가능,2026-04-29
32,cookiedeal.io,보문중기매매상사,https://cookiedeal.io/company-search/7291900044/%EB%B3%B4%EB%AC%B8%EC%A4%91%EA%B8%B0%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,보문중기매매상사,75,브라우저/쿠키 필요,2026-04-29
33,cookiedeal.io,삼호건설기계매매상사,https://cookiedeal.io/company-search/6150517346/%EC%82%BC%ED%98%B8%EA%B1%B4%EC%84%A4%EA%B8%B0%EA%B3%84%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,삼호건설기계매매상사,74,브라우저/쿠키 필요,2026-04-29
34,cookiedeal.io,세움건설기계매매상사,https://cookiedeal.io/company-search/4718100536/%EC%84%B8%EC%9B%80%EA%B1%B4%EC%84%A4%EA%B8%B0%EA%B3%84%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,세움건설기계매매상사,72,브라우저/쿠키 필요,2026-04-29
35,cookiedeal.io,세흥건설기계매매상사,https://cookiedeal.io/company-search/6081779589/%EC%84%B8%ED%9D%A5%EA%B1%B4%EC%84%A4%EA%B8%B0%EA%B3%84%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,세흥건설기계매매상사,76,브라우저/쿠키 필요,2026-04-29
36,cookiedeal.io,수도건설기계,https://cookiedeal.io/company-search/4358601927/,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,수도건설기계,44,브라우저/쿠키 필요,2026-04-29
37,4396200.com,연합건설기계,https://www.4396200.com/main_v.html,0,매물 패턴 미검출,HTML 응답,N,1,연합건설기계,116,requests+BeautifulSoup 가능,2026-04-29
38,cookiedeal.io,우성건설중기매매상사,https://cookiedeal.io/company-search/3164800076/%EC%9A%B0%EC%84%B1%EA%B1%B4%EC%84%A4%EC%A4%91%EA%B8%B0%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,우성건설중기매매상사,65,브라우저/쿠키 필요,2026-04-29
39,wonildump.com,원일중기매매상사,http://www.wonildump.com/,0,매물 패턴 미검출,확인불가(요청 실패),N,1,원일중기매매상사,8,requests+BeautifulSoup 가능,2026-04-29
40,cookiedeal.io,월드건설기계매매상사,https://cookiedeal.io/company-search/4100985188/%EC%9B%94%EB%93%9C%EA%B1%B4%EC%84%A4%EA%B8%B0%EA%B3%84%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,월드건설기계매매상사,70,브라우저/쿠키 필요,2026-04-29
41,cookiedeal.io,진서중기매매상사,https://cookiedeal.io/company-search/1471900223/%EC%A7%84%EC%84%9C%EC%A4%91%EA%B8%B0%EB%A7%A4%EB%A7%A4%EC%83%81%EC%82%AC,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,진서중기매매상사,73,브라우저/쿠키 필요,2026-04-29
42,cookiedeal.io,창해건기매매상사,https://cookiedeal.io/company-search/2600200528/,0,매물 패턴 미검출,확인불가(Cloudflare 차단),N,1,창해건기매매상사,43,브라우저/쿠키 필요,2026-04-29
43,dump1001.com,천일중기매매상사,http://www.dump1001.com/,0,매물 패턴 미검출,확인불가(요청 실패),N,1,천일중기매매상사,61,requests+BeautifulSoup 가능,2026-04-29
44,tsman.co.kr,태성중기매매상사,http://www.tsman.co.kr,0,매물 패턴 미검출,확인불가(요청 실패),N,1,태성중기매매상사,77,requests+BeautifulSoup 가능,2026-04-29
45,01030048896.com,해월중기매매상사,http://www.01030048896.com/,0,매물 패턴 미검출,확인불가(요청 실패),N,1,해월중기매매상사,7,requests+BeautifulSoup 가능,2026-04-29
46,ku21.com,ku21.com 공용매물/플랫폼,https://ku21.com/p/sell/171,0,매물 패턴 미검출,확인불가(요청 실패),N,2,건설기계코리아(KU21) | 건설장비포탈 건설기계코리아,WEB-3 | WEB-6,requests+BeautifulSoup 가능,2026-04-29
47,04master.com,공사마스터 중고장비매매,https://www.04master.com/,0,매물 패턴 미검출,확인불가(요청 실패),N,1,공사마스터 중고장비매매,WEB-4,requests+BeautifulSoup 가능,2026-04-29
48,daehanmachine.com,대한건설기계매매협회 매물정보,https://www.daehanmachine.com/,0,매물 패턴 미검출,확인불가(요청 실패),N,1,대한건설기계매매협회 매물정보,WEB-5,requests+BeautifulSoup 가능,2026-04-29
49,blog.daara.co.kr,(주)태평,https://blog.daara.co.kr/sell_list.html?cid=lhm206,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,(주)태평,26,query_params=cid=lhm206 | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
50,blog.daara.co.kr,E&G SYSTEMS(이엔지시스템),https://blog.daara.co.kr/sell_list.html?cid=58239lee,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,E&G SYSTEMS(이엔지시스템),27,query_params=cid=58239lee | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
51,kbtech.bizdaara.com,KB TECH,https://kbtech.bizdaara.com/sell_list.html?cid=kbtech,0,매물 패턴 미검출,HTML+API호출 단서,추정,1,KB TECH,46,query_params=cid=kbtech | cid | 스크립트/API 엔드포인트 확인 필요,2026-04-29
